,Synsets,domain_x,nrhypos_x,nrdirhypers_x,nrpartrels_x,depthfromtopsynset_x,glosslength_x,minwordlength_x,nroflemmas_x,polyscore_max_x,ngrams_last_mean,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,res_ngrams_2008_mean,ngrams_2008_mean_log_y,ngrams_sum08,ngrams_max08,All_CHILDES_mean,All_CHILDES_mean_log,CHILDES_sum,CHILDES_Sum_log,CHILDES_max,CHILDES_max_log,KBNC_mean,KBNC_mean_log,KBNC_Sum,KBNC_Sum_log,KBNC_max,KBNC_max_log,CABNC_mean,CABNC_mean_log,CABNC_sum,CABNC_Sum_log,CABNC_max,CABNC_max_log,BNC_mean,BNC_mean_log,BNC_sum,BNC_Sum_log,BNC_max,BNC_max_log,A1_Label,A2_Label,A3_Label,MV,vote_x,CHILDES_Rel_mean,KBNC_Rel_mean,CABNC_Rel_mean,BNC_Rel_mean,CHILDES_Rel_mean_log,KBNC_Rel_mean_log,CABNC_Rel_mean_log,BNC_Rel_mean_log,CHILDES_Sum_Rel,KBNC_Sum_Rel,CABNC_Sum_Rel,BNC_Sum_Rel,CHILDES_appear,KBNC_appear,CABNC_appear,BNC_appear,"CHILDES_per100,000","KBNC_per100,000","CABNC_per100,000","BNC_per100,000",CHILDES_perMillionWords,KBNC_perMillionWords,CABNC_perMillionWords,BNC_perMillionWords,binary
0,Synset('adjustable_wrench.n.01'),tool,7,1,0,10,36,17,2,1,-18.85440188,0.0,1.0129032258064516,0.5631725787166202,6.480929570784611e-09,-18.854401884588945,1.2961859141569222e-08,1.0320574617139757e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
1,Synset('allen_wrench.n.01'),tool,0,1,0,10,25,12,1,1,-18.3891264,0.0,1.0129032258064516,0.3910920685532084,1.0320574617139757e-08,-18.38912639848766,1.0320574617139757e-08,1.0320574617139757e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
2,Synset('alligator_wrench.n.01'),tool,0,1,0,10,97,16,1,1,-22.35469017,0.0,1.0129032258064516,1.5174372259864488,1.9565070397131726e-10,-22.354690169163,1.9565070397131726e-10,1.9565070397131726e-10,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
3,Synset('awl.n.01'),tool,2,1,2,9,63,3,1,1,-14.80999674,15.7,0.9116129032258066,0.9855520127540852,3.699134651924396e-07,-14.809996736520104,3.699134651924396e-07,3.699134651924396e-07,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,42.0,3.737669618283368,42.0,3.737669618283368,42.0,3.737669618283368,b,b,b,b,b,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,3.7507344071924084e-07,-38.58115936931148,-36.93294381881565,-37.72175640501975,-14.796143988232547,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,3.7507344071924084e-07,0,0,0,1,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,0.037507344071924,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,0.3750734407192408,b
4,Synset('backsaw.n.01'),tool,0,1,0,11,71,7,2,1,-18.3274757,0.0,1.1141935483870968,1.110701474691112,1.097686785911378e-08,-18.32747570029185,2.1953735718227563e-08,1.2766208534742418e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
5,Synset('ball-peen_hammer.n.01'),tool,0,1,0,10,63,16,1,1,-18.48889427,0.0,1.0129032258064516,0.9855520127540852,9.34061006319098e-09,-18.488894269580605,9.34061006319098e-09,9.34061006319098e-09,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
6,Synset('beading_plane.n.01'),tool,0,1,0,10,62,13,1,1,-23.74098453,0.0,1.0129032258064516,0.969908330011957,4.8912675992829335e-11,-23.74098453028289,4.8912675992829335e-11,4.8912675992829335e-11,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
7,Synset('bevel.n.02'),tool,0,1,0,9,106,5,2,3,-14.97634131,0.0,0.9116129032258066,1.658230370665604,3.132258608040672e-07,-14.976341306621372,6.264517216081344e-07,6.24495214651688e-07,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.0,0.0,1.0,0.0,1.0,0.0,33.0,3.49650756146648,33.0,3.49650756146648,33.0,3.49650756146648,b,b,b,b,b,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511585e-07,2.947005605651178e-07,-38.58115936931148,-36.93294381881565,-14.69590547507929,-15.037306045049435,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511585e-07,2.947005605651178e-07,0,0,1,1,1.7555588013887177e-12,9.124861872403408e-12,0.0414619139151158,0.0294700560565117,1.7555588013887175e-11,9.124861872403407e-11,0.4146191391511585,0.2947005605651178,b
8,Synset('bill.n.08'),tool,0,1,0,10,38,4,2,13,-10.98524804,0.0,1.0129032258064516,0.5944599442008769,1.694990995382284e-05,-10.985248036610756,3.389981990764568e-05,3.387405376997776e-05,57.0,4.04305126783455,57.0,4.04305126783455,57.0,4.04305126783455,13.0,2.5649493574615367,13.0,2.5649493574615367,13.0,2.5649493574615367,89.0,4.48863636973214,89.0,4.48863636973214,89.0,4.48863636973214,2616.0,7.86940171257709,5232.0,8.562548893137034,5226.0,8.561401446080557,l,l,l,l,nb,1.0006685167915689e-05,1.186232043412443e-05,3.690110338445311e-05,2.336171716479843e-05,-11.51225717153647,-11.342143531413656,-10.20726910534715,-10.664411893938828,1.0006685167915689e-05,1.186232043412443e-05,3.690110338445311e-05,4.672343432959686e-05,1,1,1,1,1.0006685167915688,1.186232043412443,3.690110338445311,4.672343432959686,10.006685167915688,11.86232043412443,36.90110338445311,46.723434329596856,nb
9,Synset('block_plane.n.01'),tool,0,1,0,10,40,11,1,1,-18.27715276,0.0,1.0129032258064516,0.6257473096851335,1.1543391131851877e-08,-18.27715276012189,1.1543391131851877e-08,1.1543391131851877e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
10,Synset('blunt_file.n.01'),tool,0,1,0,10,26,10,1,1,-23.04783735,0.0,1.0129032258064516,0.4067357512953368,9.782535198565867e-11,-23.047837349722943,9.782535198565867e-11,9.782535198565867e-11,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
11,Synset('bodkin.n.03'),tool,0,1,0,9,66,6,1,4,-15.95388106,0.0,0.9116129032258066,1.0324830609804705,1.178467172735509e-07,-15.95388106307696,1.178467172735509e-07,1.178467172735509e-07,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.0,2.19722457733622,9.0,2.19722457733622,9.0,2.19722457733622,l,l,b,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.037288015412303e-08,-38.58115936931148,-36.93294381881565,-37.72175640501975,-16.3365890291797,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.037288015412303e-08,0,0,0,1,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,0.0080372880154123,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,0.080372880154123,nb
12,Synset('bodkin.n.04'),tool,0,1,0,9,49,6,2,4,-16.58006996,0.0,0.9116129032258066,0.7665404543642885,6.30038523574683e-08,-16.58006996389313,1.260077047149366e-07,1.178467172735509e-07,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,7.0,1.9459101490553128,14.0,2.6390573296152584,9.0,2.19722457733622,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,6.251224011987347e-08,-38.58115936931148,-36.93294381881565,-37.72175640501975,-16.587903457460605,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,1.2502448023974697e-07,0,0,0,1,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,0.0125024480239746,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,0.1250244802397469,nb
13,Synset('bottle_opener.n.01'),tool,2,1,0,10,49,13,1,1,-17.36595972,0.0,1.0129032258064516,0.7665404543642885,2.8711740540643405e-08,-17.36595971975926,2.8711740540643405e-08,2.8711740540643405e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,h,l,b,b,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
14,Synset('box_wrench.n.01'),tool,0,1,1,10,72,10,2,1,-20.66606788,7.85,1.0129032258064516,1.1263451574332404,1.058865398140263e-09,-20.666067881200227,2.117730796280526e-09,1.8097690013263446e-09,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
15,Synset('brace_wrench.n.01'),tool,0,1,0,10,81,12,1,1,-23.02585093,0.0,1.0129032258064516,1.2671383021123954,1e-10,-23.025850929940457,1e-10,1e-10,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
16,Synset('bradawl.n.01'),tool,0,1,0,10,55,7,2,2,-17.52110424,0.0,1.0129032258064516,0.8604025508170586,2.4585617097727663e-08,-17.52110423581881,4.9171234195455333e-08,2.5920117607824977e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,6.0,1.791759469228055,12.0,2.4849066497880004,8.0,2.079441541679836,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,5.358192010274869e-08,-38.58115936931148,-36.93294381881565,-37.72175640501975,-16.742054137287862,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,1.0716384020549737e-07,0,0,0,1,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,0.0107163840205497,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,0.1071638402054973,nb
17,Synset('brick_trowel.n.01'),tool,0,1,0,10,24,12,2,1,-19.41875535,0.0,1.0129032258064516,0.3754483858110801,3.6858843616149875e-09,-19.41875535051456,7.3717687232299775e-09,6.980467315287342e-09,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
18,Synset('bricklayer's_hammer.n.01'),tool,0,1,0,10,30,19,1,1,-22.99965765,0.0,1.0129032258064516,0.4693104822638501,1.026539339643584e-10,-22.999657649141856,1.026539339643584e-10,1.026539339643584e-10,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
