,Synset,Name,1
0,Synset('personality.n.01'),personality.n.01,personality
1,Synset('varna.n.02'),varna.n.02,varna
2,Synset('volume.n.01'),volume.n.01,volume
3,Synset('diagonal.n.04'),diagonal.n.04,diagonal
4,Synset('nature.n.01'),nature.n.01,nature
5,Synset('greenwich_mean_time.n.01'),greenwich_mean_time.n.01,Greenwich_Mean_Time
6,Synset('rhetoric.n.01'),rhetoric.n.01,rhetoric
7,Synset('mail.n.01'),mail.n.01,mail
8,Synset('artwork.n.01'),artwork.n.01,artwork
9,Synset('graph.n.01'),graph.n.01,graph
10,Synset('estivation.n.02'),estivation.n.02,estivation
11,Synset('scaffold.n.02'),scaffold.n.02,scaffold
12,Synset('battery.n.03'),battery.n.03,battery
13,Synset('biota.n.01'),biota.n.01,biota
14,Synset('book.n.07'),book.n.07,book
15,Synset('fauna.n.01'),fauna.n.01,fauna
16,Synset('fleet.n.01'),fleet.n.01,fleet
17,Synset('fleet.n.02'),fleet.n.02,fleet
18,Synset('fleet.n.04'),fleet.n.04,fleet
19,Synset('galaxy.n.03'),galaxy.n.03,galaxy
20,Synset('generally_accepted_accounting_principles.n.01'),generally_accepted_accounting_principles.n.01,generally_accepted_accounting_principles
21,Synset('library.n.04'),library.n.04,library
22,Synset('mythology.n.01'),mythology.n.01,mythology
23,Synset('troponymy.n.02'),troponymy.n.02,troponymy
24,Synset('wardrobe.n.03'),wardrobe.n.03,wardrobe
25,Synset('kurd.n.01'),kurd.n.01,Kurd
26,Synset('bromine.n.01'),bromine.n.01,bromine
27,Synset('chlorine.n.01'),chlorine.n.01,chlorine
28,Synset('fluorine.n.01'),fluorine.n.01,fluorine
29,Synset('iodine.n.01'),iodine.n.01,iodine
30,Synset('audience.n.02'),audience.n.02,audience
31,Synset('laity.n.01'),laity.n.01,laity
32,Synset('folk.n.01'),folk.n.01,folk
33,Synset('sector.n.02'),sector.n.02,sector
34,Synset('society.n.01'),society.n.01,society
35,Synset('judiciary.n.02'),judiciary.n.02,judiciary
36,Synset('brahman.n.03'),brahman.n.03,brahman
