,Synset,Name
0,Synset('abstraction.n.06'),abstraction.n.06
1,Synset('physical_entity.n.01'),physical_entity.n.01
2,Synset('thing.n.08'),thing.n.08
3,Synset('attribute.n.02'),attribute.n.02
4,Synset('communication.n.02'),communication.n.02
5,Synset('group.n.01'),group.n.01
6,Synset('measure.n.02'),measure.n.02
7,Synset('otherworld.n.01'),otherworld.n.01
8,Synset('psychological_feature.n.01'),psychological_feature.n.01
9,Synset('relation.n.01'),relation.n.01
10,Synset('set.n.02'),set.n.02
11,Synset('causal_agent.n.01'),causal_agent.n.01
12,Synset('matter.n.03'),matter.n.03
13,Synset('object.n.01'),object.n.01
14,Synset('process.n.06'),process.n.06
15,Synset('substance.n.04'),substance.n.04
16,Synset('thing.n.12'),thing.n.12
17,Synset('change.n.06'),change.n.06
18,Synset('freshener.n.01'),freshener.n.01
19,Synset('horror.n.02'),horror.n.02
20,Synset('jimdandy.n.02'),jimdandy.n.02
21,Synset('pacifier.n.02'),pacifier.n.02
22,Synset('security_blanket.n.01'),security_blanket.n.01
23,Synset('stinker.n.02'),stinker.n.02
24,Synset('whacker.n.01'),whacker.n.01
25,Synset('ballast.n.03'),ballast.n.03
26,Synset('character.n.09'),character.n.09
27,Synset('cheerfulness.n.01'),cheerfulness.n.01
28,Synset('common_denominator.n.02'),common_denominator.n.02
29,Synset('depth.n.06'),depth.n.06
30,Synset('eidos.n.01'),eidos.n.01
31,Synset('ethos.n.01'),ethos.n.01
32,Synset('human_nature.n.01'),human_nature.n.01
33,Synset('inheritance.n.04'),inheritance.n.04
34,Synset('personality.n.01'),personality.n.01
35,Synset('property.n.02'),property.n.02
36,Synset('quality.n.01'),quality.n.01
37,Synset('shape.n.02'),shape.n.02
38,Synset('space.n.01'),space.n.01
39,Synset('state.n.02'),state.n.02
40,Synset('thing.n.09'),thing.n.09
41,Synset('time.n.05'),time.n.05
42,Synset('trait.n.01'),trait.n.01
43,Synset('uncheerfulness.n.02'),uncheerfulness.n.02
44,Synset('auditory_communication.n.01'),auditory_communication.n.01
45,Synset('contagion.n.03'),contagion.n.03
46,Synset('didacticism.n.01'),didacticism.n.01
47,Synset('display.n.05'),display.n.05
48,Synset('document.n.03'),document.n.03
49,Synset('expressive_style.n.01'),expressive_style.n.01
