,Term,BNC_Sampler_Counts
0,Lebanon,50
1,leader,193
2,builds,15
3,cabinet,66
4,.,107567
5,By,513
6,Reuter,87
7,in,30301
8,Beirut,18
9,LEBANON,3
10,'S,70
11,new,1602
12,President,315
13,",",105935
14,Mr,1793
15,Rene,5
16,Muawad,19
17,yesterday,648
18,worked,259
19,to,45698
20,weld,1
21,old,874
22,militia,15
23,foes,2
24,into,2643
25,a,36784
26,govern,4
27,his,4911
28,divided,111
29,country,588
30,while,692
31,fellow,74
32,Christians,29
33,demonstrating,15
34,against,787
35,him,2699
36,shut,114
37,half,854
38,of,44163
39,Supporters,1
40,General,128
41,Michel,9
42,Aoun,41
43,staged,16
44,noisy,27
45,street,125
46,protests,29
47,the,95451
48,Christian,110
49,enclave,13
50,About,101
51,"1,000",25
52,marched,19
53,on,14395
54,French,214
55,embassy,18
56,denounce,2
57,support,480
58,for,14788
59,Arab,38
60,peace,172
61,plan,242
62,which,5478
63,brought,347
64,power,308
65,Sunday,225
66,`,8048
67,France,150
68,has,4131
69,deceived,5
70,us,1666
71,"""",10603
72,one,7481
73,poster,14
74,said,5194
75,Another,108
76,charged,81
77,that,26730
78,'s,26530
79,had,6458
80,been,4382
81,let,515
82,down,2379
83,by,6626
84,Franois,8
85,Mitterrand,30
86,Gen,86
87,rejected,53
88,pact,9
89,failing,36
90,ensure,207
91,clear,340
92,rapid,45
93,timetable,14
94,withdrawal,33
95,Syria,21
96,"33,000",3
97,troops,130
98,from,6388
99,pro-Syrian,1
100,Maronite,5
101,met,191
102,deputies,14
103,village,157
104,Ehden,1
105,Syrian-controlled,2
106,north,160
107,consult,13
108,them,4695
109,about,4663
110,forming,38
111,due,194
112,be,12659
113,announced,100
114,this,8000
115,week,952
116,Analysts,7
117,faced,68
118,task,120
119,uniting,5
120,leaders,146
121,who,3362
122,have,11508
123,fighting,132
124,each other,189
125,14,88
126,years,1458
127,nothing,571
128,composition,34
129,but,7400
130,is,18551
131,expected,229
132,include,224
133,Selim,1
134,el-Hoss,1
135,Prime,161
136,Minister,235
137,rival,28
138,administration,62
139,The,8612
140,anger,17
141,expressed,86
142,East,393
143,reflected,43
144,sense,230
145,betrayal,2
146,camp,56
147,defied,6
148,attempts,58
149,block,76
150,presidential,17
151,election,246
152,are,9262
153,like,4882
154,palace,44
155,Ba'abda,1
156,held,366
157,so,4540
158,was,15937
159,base,192
160,government,723
161,Syrian-held,1
162,West,357
163,quoted,44
164,Syrian,20
165,daily,53
166,al-Thawara,1
167,as,7137
168,saying,695
169,he,9579
170,would,5271
171,work,1859
172,promote,40
173,ties,20
174,with,10840
175,Although,211
176,and,48268
177,two,3871
178,countries,250
179,they,10898
180,people,2917
181,nation,103
182,[hellip],918
183,partitioned,2
184,colonialism,6
185,PAGE,31
186,Pentagon,19
187,could,3408
188,axe,16
189,electronic,76
190,warfare,15
191,system,879
192,Mark,119
193,Tran,11
194,Washington,110
195,PENTAGON,1
196,budget,115
197,officials,101
198,contemplating,6
199,cancellation,10
200,hi-tech,5
201,joint,102
202,Navy-Air,1
203,Force,34
204,jamming,4
205,scheduled,23
206,fitted,66
207,more than,231
208,"2,000",17
209,fighter,5
210,attack,123
211,planes,16
212,They,2116
213,blame,44
214,budgetary,4
215,pressures,43
216,persistent,18
217,teething,2
218,problems,425
219,cost,413
220,overruns,3
221,Airborne,5
222,Self-Protection,1
223,Jammer,1
224,described,190
225,world,626
226,top,530
227,electronics,11
228,experts,49
229,1988-89,1
230,edition,40
231,Jane,103
232,Avionics,2
233,possibly,131
234,most,1310
235,significant,127
236,US,456
237,current,170
238,decade,36
239,But,3180
240,under,825
241,intense,27
242,congressional,8
243,pressure,151
244,Defence,32
245,Department,101
246,says,1117
247,it,28730
248,will,4924
249,kill,91
250,programme,323
251,next,989
252,year,1597
253,unless,163
254,services,279
255,manage,88
256,iron,51
257,out,3792
258,serious,158
259,flaws,1
260,jammer,1
261,at least,316
262,four,1384
263,behind,371
264,schedule,28
265,may,1454
266,$1,9
267,billion,60
268,more,3163
269,than,1611
270,estimated,66
271,according to,166
272,report,457
273,Still,80
274,yet,534
275,bite,26
276,bullet,11
277,recently,147
278,awarded,50
279,$419,1
280,million,432
281,contracts,56
282,Westinghouse,1
283,ITT,1
284,Division,84
285,developed,148
286,build,155
287,first,2035
288,100,80
289,production,154
290,models,59
291,installation,20
292,aircraft,53
293,After,264
294,13,108
295,development,393
296,latest,93
297,flight,57
298,tests,46
299,showed,136
300,costs,263
301,an,5046
302,$9,2
303,marginally,10
304,operationally,3
305,effective,125
306,suitable,131
307,recent,212
308,declassifed,1
309,navy,24
310,say,2469
311,their,3631
312,perennial,5
313,pursuit,8
314,gadgetry,1
315,once again,35
316,dug,18
317,hole,93
318,themselves,330
319,These,365
320,systems,295
321,well,2811
322,if,5014
323,know,6190
324,parameters,29
325,Soviet,249
326,radar,4
327,very,3280
328,On,474
329,other,2659
330,hand,584
331,can,5456
332,fail,38
333,catastrophically,1
334,Simpler,1
335,do,10297
336,n't,14363
337,attempt,131
338,much,1909
339,not,8658
340,going,2561
341,badly,61
342,analyst,4
343,Centre,77
344,Information,46
