,Term,BNC_Baby_Counts
0,Detective,20
1,Chief,107
2,Inspector,71
3,John,207
4,McLeish,302
5,gazed,56
6,doubtfully,14
7,at,5916
8,the,49139
9,plate,59
10,before,1135
11,him,4919
12,.,70816
13,Having,29
14,thought,1469
15,he,11637
16,was,16622
17,hungry,37
18,",",61078
19,now,1804
20,realized,96
21,that,10039
22,actually,123
23,needed,205
24,anything,508
25,rather,352
26,than,1106
27,overflowing,6
28,of,21214
29,cholesterol,1
30,canteen,11
31,New,177
32,Scotland,30
33,Yard,26
34,had,11143
35,provided,36
36,with,6883
37,such,385
38,admirable,5
39,promptness,2
40,Sleep,8
41,would,3596
42,perhaps,318
43,make,760
44,more,1674
45,sense,174
46,after,920
47,thirty-six,8
48,hours,190
49,straight,177
50,on,7410
51,duty,51
52,much,937
53,it,10367
54,spent,124
55,a,21566
56,sullen,10
57,Jamaican,4
58,who,1958
59,killed,188
60,his,8901
61,landlady,6
62,and,23362
63,her,10027
64,three,469
65,children,287
66,in,13759
67,crowded,23
68,kitchen,259
69,house,796
70,behind,483
71,Westway,2
72,He,6638
73,took,789
74,an,2450
75,experimental,6
76,mouthful,14
77,fried,7
78,egg,20
79,waited,155
80,to,25111
81,see,1526
82,if,2342
83,going,1210
84,suit,120
85,then,1867
86,progressed,6
87,baked,20
88,beans,18
89,cautiously,32
90,finished,145
91,all,3005
92,one,2807
93,sausages,6
94,but,3868
95,decided,264
96,bread,57
97,tempting,6
98,fate,23
99,pushed,199
100,aside,83
101,reaching,44
102,for,6391
103,cup,156
104,tea,240
105,resting,21
106,both,502
107,elbows,10
108,table,365
109,lifted,78
110,hand,830
111,off,1184
112,weary,11
113,salute,8
114,sergeants.,1
115,very,1150
116,dark,338
117,Scot,3
118,crumpled,23
119,grey,159
120,walking,124
121,over,1534
122,from,3645
123,counter,53
124,man,1440
125,altered,11
126,course,763
127,sit,135
128,opposite,73
129,‘,23209
130,How,505
131,goes,87
132,Bruce,33
133,?,8618
134,’,23045
135,Davidson,35
136,accompanied,33
137,last,708
138,posting,6
139,C1,5
140,division,17
141,concerned,89
142,exclusively,5
143,murder,126
144,they,3780
145,worked,172
146,together,351
147,four,208
148,years,541
149,CID,14
150,Got,27
151,Tottenham,3
152,case,348
153,weighed,11
154,nae,2
155,bother,56
156,I,15065
157,hear,311
158,you,9174
159,'ve,1249
160,job,326
161,Ye,5
162,need,439
163,get,1368
164,your,1481
165,head,956
166,down,1865
167,'re,1129
168,looking,577
169,rough,43
170,nodded,303
171,glanced,123
172,washroom,5
173,mirror,67
174,not,4845
175,been,3474
176,reassuring,17
177,sight,125
178,A,1098
179,big,281
180,six,148
181,foot,120
182,inches,24
183,socks,17
184,good,925
185,fourteen,20
186,stone,90
187,always,753
188,looked,1443
189,mildly,21
190,untidy,19
191,this,2736
192,morning,351
193,having,286
194,worn,36
195,same,506
196,clothes,187
197,day,791
198,half,285
199,like,2560
200,football,13
201,supporter,4
202,night,586
203,cells,23
204,At,374
205,thirty-two,5
206,young,520
207,enough,470
208,look,780
209,completely,77
210,haggard,5
211,even,847
212,only,1251
213,odd,76
214,hour,173
215,'s,9546
216,sleep,160
217,hair,367
218,plastered,3
219,brown,139
220,eyes,884
221,were,3802
222,sunk,18
223,back,2127
224,reddened,6
225,smoke,95
226,exhaustion,8
227,'m,1268
228,You,2484
229,too,1238
230,waiting,229
231,Catherine,133
232,—,3257
233,Sergeant,62
234,Crane,50
235,Even,186
236,falling,66
237,asleep,94
238,as,6163
239,amused,35
240,hopeful,13
241,proprietorial,4
242,air,314
243,joined,93
244,months,193
245,ago,196
246,creating,11
247,major,49
248,upheaval,2
249,She,4136
250,slight,49
251,woman,607
252,twenty-seven,2
253,whose,133
254,dazzling,4
255,delicate,34
256,blond,19
257,looks,126
258,concealed,25
259,ferocious,10
260,intelligence,26
261,attack,57
262,Every,42
263,vicinity,7
264,found,681
265,himself,887
266,putting,105
267,best,287
268,forward,243
269,she,8231
270,done,426
271,wonders,14
272,sartorial,1
273,standards,18
274,notoriously,5
275,uncaring,5
276,though,604
277,admiring,15
278,unaffected,4
279,;,1895
280,love,396
281,year,230
282,little,1026
283,older,79
284,cleverer,1
285,His,567
286,Francesca,83
287,rising,66
288,star,31
289,Department,14
290,Trade,10
291,Industry,6
292,planned,45
293,celebrate,11
294,thirtieth,3
295,birthday,25
296,skiing,6
297,holiday,68
298,due,68
299,start,184
300,two,1177
301,weeks,167
302,',255
303,time,1753
304,smiled,312
305,cheered,10
306,immeasurably,1
307,by,2773
308,getting,293
309,plane,102
310,After,283
311,chatting,12
312,few,567
313,minutes,275
314,longer,192
315,went,1030
316,office,317
317,secretary,52
318,plumpish,2
319,infinitely,5
320,competent,10
321,middle-aged,18
322,mother,454
323,phone,209
324,stood,476
325,silently,47
326,filling,25
327,doorway,46
328,raising,21
329,eyebrow,17
330,motioned,13
331,stay,188
332,It,3578
333,Thanks,60
334,Jenny,283
335,'ll,1377
336,take,663
337,there,2723
338,said,5459
339,brightening,1
340,watched,218
341,jealousy,20
342,hurried,50
343,desk,215
344,Darling,12
345,got,1340
346,horrendous,4
347,problem,149
348,Can,98
349,possibly,73
350,duck,14
351,out,3305
352,have,4514
353,coffee,202
354,caff,1
355,ten,201
356,The,5500
357,voice,637
358,other,1273
359,end,439
360,slightly,119
361,husky,2
362,clear,226
363,Tristram,19
364,arrested,28
365,York,103
366,Better,23
367,talk,327
368,we,1994
369,Oh,655
370,Christ,106
371,No,1006
372,meet,131
373,put,754
374,rattled,22
375,With,212
376,much-loved,1
377,came,1017
378,younger,87
379,brothers,25
380,whom,140
381,eldest,13
382,child,266
383,widow,13
384,considered,112
385,herself,618
386,responsible,37
387,All,335
388,talented,10
389,musicians,8
390,difficult,143
391,people,837
392,varying,3
393,degrees,6
394,twenty-four-year-old,3
395,twins,46
396,proved,37
397,most,462
398,because,726
399,gritted,9
400,teeth,108
401,trying,312
402,consider,43
403,implications,15
404,what,2624
405,told,792
406,made,1068
407,quick,80
408,call,268
409,lift,79
410,walked,362
411,across,536
412,road,223
413,café,9
414,which,1909
415,usual,148
416,full,294
417,workmen,8
418,engaged,20
419,rebuilding,2
420,offices,22
421,area,137
422,Stopping,2
423,buy,97
424,paper,199
425,caught,218
426,through,1046
427,window,300
428,perched,21
429,bar,84
430,stools,3
431,totally,47
432,unconscious,13
433,men,580
434,next,427
435,eyeing,7
436,long,871
437,legs,204
438,moment,588
439,when,1898
440,knew,1117
441,be,4744
442,asked,938
443,acquiesce,2
444,some,1424
445,lunatic,4
446,scheme,19
447,pulling,55
448,trouble,179
449,saw,780
450,position,111
451,detachment,14
452,:,1564
453,tall,129
454,twenty-nine,10
455,nose,112
456,arched,9
457,eyebrows,43
458,particularly,133
459,uncompromising,15
460,today,110
461,tired,92
462,pale,154
463,short,199
464,spiking,1
465,up,3411
466,crying,48
467,observed,82
468,resignedly,4
469,door,836
470,right,987
471,tell,682
472,me,2909
473,sat,443
474,heavily,54
475,beside,193
476,careful,50
477,measuring,4
478,sidelong,6
479,go,1262
480,hurry,47
481,bail,6
482,backing,8
483,group,107
484,band,31
485,They,1792
486,nick,7
487,charged,14
488,possession,29
489,Cocaine,5
490,understand,267
491,Jesus,104
