,index,0
0,SOCIAL,31
1,POLICIES,10
2,The,56112
3,business,2320
4,of,278401
5,compulsion,47
6,is,68915
7,not,41402
8,something,4361
9,theoretical,268
10,or,31631
11,peripheral,88
12,;,18895
13,it,69126
14,the,507075
15,essence,172
16,a,180910
17,right,5640
18,",",473958
19,because,6936
20,there,20438
21,no,15443
22,point,2997
23,in,155401
24,declaring,63
25,to,227967
26,what,14665
27,everyone,1036
28,going,4805
29,have,37137
30,anyhow,25
31,.,452683
32,whole,3096
33,object,420
34,justify,160
35,commend,16
36,use,4718
37,alter,151
38,existing,703
39,relationship,1211
40,between,8234
41,individuals,680
42,society,1601
43,‘,114579
44,Human,99
45,Rights,53
46,’,113238
47,Journal,49
48,Medical,84
49,Ethics,3
50,3,1376
51,1977,384
52,HOUSING,12
53,from,36748
54,One,3185
55,Nation,20
56,1950,116
57,first,8890
58,parliamentary,233
59,Acts,171
60,concerning,249
61,housing,1119
62,nineteenth,463
63,century,2233
64,were,35512
65,Public,308
66,Health,347
67,which,31055
68,laid,746
69,down,9684
70,requirements,359
71,as,58458
72,regards,82
73,sanitation,25
74,and,234130
75,public,3626
76,safety,417
77,Detailed,26
78,regulations,221
79,for,67850
80,construction,420
81,new,7396
82,buildings,869
83,great,4511
84,variety,799
85,bye-laws,1
86,In,14944
87,1868,26
88,1879,40
89,two,10720
90,Torrens,6
91,made,8877
92,owner,426
93,house,3506
94,responsible,799
95,keeping,537
96,habitable,23
97,condition,662
98,gave,2546
99,powers,707
100,local,4818
101,authority,1749
102,Further,246
103,steps,717
104,forward,1404
105,taken,3368
106,1875,56
107,when,15138
108,Cross,286
109,passed,1358
110,These,2441
111,empowered,42
112,authorities,1667
113,clear,2331
114,reconstruct,35
115,unhealthy,31
116,areas,2317
117,with,57338
118,purchase,494
119,compulsorily,20
120,limit,375
121,compensation,216
122,Housing,211
123,Working,90
124,Classes,79
125,Act,1766
126,1890,51
127,unified,86
128,previous,995
129,legislation,445
130,remained,1174
131,principal,377
132,until,3823
133,consolidating,28
134,1925,70
135,This,9581
136,incorporated,154
137,provisions,212
138,urban,753
139,sanitary,59
140,erect,60
141,workers,1370
142,',3902
143,dwellings,168
144,independently,119
145,clearance,62
146,schemes,557
147,Its,610
148,extended,499
149,by,41834
150,1894,38
151,1900,77
152,1903,51
153,also,8986
154,Town,213
155,Planning,160
156,1909,35
157,major,1837
158,measure,612
159,introduced,756
160,Conservatives,124
161,early,3046
162,stemmed,38
163,very,10012
164,largely,844
165,did,13625
166,provide,1693
167,any,9779
168,financial,1345
169,assistance,246
170,beyond,1228
171,borrowing,163
172,money,2776
173,tackling,49
