,Term,RawCounts
0,ERIKA,1
1,RAN,2
2,",",52989
3,mile,29
4,after,851
5,effortless,2
6,around,576
7,the,42261
8,park,22
9,until,436
10,dusk,14
11,brought,202
12,bone-chilling,1
13,mist,23
14,;,1054
15,then,1868
16,in,11081
17,a,18176
18,loping,1
19,run,271
20,under,504
21,great,436
22,beech,7
23,tree,216
24,home,663
25,.,66342
26,Supper,5
27,was,13357
28,ready,180
29,—,3441
30,soup,36
31,and,22897
32,Bulgarian,3
33,tinned,3
34,fruit,61
35,eaten,50
36,dishes,16
37,washed,42
38,Erika,416
39,Paul,99
40,to,22043
41,go,1515
42,out,3771
43,Herr,223
44,Frau,219
45,Nordern,422
46,too,1169
47,‘,26342
48,The,4422
49,Beyers,1
50,rang,43
51,’,25703
52,said,7678
53,mentioning,2
54,some,1067
55,friendly,62
56,acquaintances,4
57,who,1402
58,lived,166
59,couple,87
60,of,15736
61,streets,38
62,away,1128
63,We,1046
64,'re,1381
65,going,1212
66,have,3341
67,drink,102
68,play,155
69,cards,39
70,It,3631
71,will,1088
72,be,4088
73,nice,248
74,change,158
75,Yes,548
76,agreed,104
77,that,8032
78,it,10001
79,would,2446
80,for,5311
81,her,8168
82,mother,527
83,but,3287
84,she,7870
85,looked,1464
86,at,5413
87,Omi,143
88,sitting,262
89,quietly,136
90,chair,179
91,I,12131
92,do,3794
93,n't,7840
94,think,1191
95,'ll,2021
96,Youth,4
97,Club,19
98,all,3623
99,stay,244
100,rest,234
101,homework,17
102,But,2304
103,ploy,3
104,did,2690
105,work,458
106,smiled,248
107,patient,20
108,wise,36
109,smile,178
110,Go,158
111,child,215
112,went,1002
113,politely,40
114,solicitously,2
115,opening,70
116,door,828
117,waving,30
118,through,1010
119,first,744
120,although,156
121,tight,66
122,squeeze,16
123,tiny,185
124,vestibule,4
125,bus-stop,9
126,bizarre,8
127,parody,1
128,good,875
129,manners,16
130,insisting,1
131,stand,187
132,front,437
133,him,4416
134,shrewdly,3
135,Are,195
136,you,10192
137,being,581
138,funny,79
139,?,9134
140,Because,113
141,if,2153
142,are,2065
143,…,1709
144,Funny,14
145,!,6274
146,hurt,164
147,'m,1306
148,polite,33
149,'s,9752
150,what,2396
151,And,2117
152,been,1852
153,looking,527
154,so,2308
155,pleased,125
156,about,2481
157,this,2343
158,week,207
