,index,TotalCounts
0,come,11421.0
1,on,44194.0
2,now,18710.0
3,.,795706.0
4,you,140360.0
5,can,24439.0
6,sit,4672.0
7,up,15628.0
8,here,16487.0
9,beside,219.0
10,me,17914.0
11,there,47494.0
12,until,1133.0
13,I,74257.0
14,see,13986.0
15,all,15410.0
16,these,6173.0
17,toys,2140.0
18,and,59322.0
19,everything,805.0
20,!,12205.0
21,look,21135.0
22,at,11540.0
23,videos,44.0
24,too,4814.0
25,whose,546.0
26,are,29757.0
27,?,245435.0
28,though,1305.0
29,she's,5472.0
30,not,22405.0
31,keen,27.0
32,must,1141.0
33,say,5185.0
34,is,44922.0
35,she,14015.0
36,no,48951.0
37,‡,8874.0
38,Tots_Tv,18.0
39,Rosie_And_Jim,4.0
40,Snow_White,40.0
41,that's,32553.0
42,it,94587.0
43,don't,24311.0
44,worry,226.0
45,the,105457.0
46,day,1702.0
47,will,4894.0
48,when,5677.0
49,you'll,2067.0
50,be,10658.0
51,able,612.0
52,to,53323.0
53,plunk,1.0
54,her,10572.0
55,settee,199.0
56,"""/.",1817.0
57,watch,1734.0
58,that,68018.0
59,off,8398.0
60,by,1233.0
61,heart,105.0
62,I've,4278.0
63,seen,1013.0
64,often,108.0
65,know,13602.0
66,being,1142.0
67,three,3691.0
68,times,196.0
69,in,42989.0
70,one,38747.0
71,which,3177.0
72,crispies,23.0
73,lovely,2186.0
74,do,44699.0
75,like,19104.0
76,those,4511.0
77,open,1992.0
78,them,13879.0
79,for,16596.0
80,I'll,5316.0
81,hafta,5742.0
82,find,3816.0
83,out,11169.0
84,what,45200.0
85,so_that,199.0
86,bring,1492.0
87,something,3186.0
88,every,525.0
89,week,830.0
90,Barbara,209.0
91,likes,716.0
92,does,7142.0
93,good,9421.0
94,things,2520.0
95,bad,674.0
96,och,888.0
97,sure,1887.0
98,„,12458.0
99,isn't,9639.0
100,way,4548.0
101,we,28775.0
102,yeah,32964.0
103,okay,10843.0
104,have,23669.0
105,a,84878.0
106,wee,4099.0
107,uhhuh,3733.0
108,oh,57407.0
109,yum,1265.0
110,they,15423.0
111,nice,5234.0
112,your,24867.0
113,teeth,547.0
114,got,25445.0
115,aren't,3437.0
116,gorgeous,222.0
117,character,10.0
118,really,3839.0
119,strange,119.0
120,you_know,1520.0
121,looks,1348.0
122,quite,1075.0
123,happy,844.0
124,bit,8255.0
125,funny,1728.0
126,with,16027.0
127,men,483.0
128,women,16.0
129,sometimes,679.0
130,maybe,1413.0
131,it's,26900.0
132,thing,1523.0
133,going,25270.0
134,ask,780.0
135,Cathy,1157.0
136,call,632.0
137,girl,4042.0
138,two,8123.0
139,girls,401.0
140,boy,3244.0
141,big,8897.0
142,who's,4343.0
143,five,1663.0
144,called,1848.0
145,Adam,287.0
146,name,1441.0
147,what's,16097.0
148,this,31650.0
149,Nicole's,92.0
150,baby,6553.0
151,friend,664.0
152,well,15718.0
153,he's,10423.0
154,school,1252.0
155,P_Two,8.0
156,little,8672.0
157,Kathryn,228.0
158,who,4367.0
159,met,62.0
160,down,11182.0
161,mums,14.0
162,toddlers,33.0
163,group,47.0
164,granny,148.0
165,Sadie,10.0
166,didn't,5650.0
167,were,3686.0
168,playing,1987.0
169,did,13929.0
170,play,6824.0
171,k,81.0
172,cousin,70.0
173,Katharine,2.0
174,K,4.0
175,but,7674.0
176,although,77.0
177,my,14902.0
178,full,433.0
179,Catherine,111.0
180,c,200.0
181,e,274.0
182,r,120.0
183,i,151.0
184,n,150.0
185,just,12091.0
186,thought,1584.0
187,after,1388.0
188,Ryn,1.0
189,American,7.0
190,style,12.0
191,lives,393.0
192,Canada,11.0
193,funnily,8.0
194,enough,1390.0
195,was,12859.0
196,born,104.0
197,over,6131.0
198,right,18419.0
199,another,6507.0
200,Alice,106.0
201,from,2765.0
202,very,7872.0
203,start,724.0
204,useta,391.0
205,adventurous,2.0
206,both,587.0
207,grannys,12.0
208,original,4.0
209,think,14314.0
210,so,8626.0
211,a_lot_of,426.0
212,names,151.0
213,nowadays,5.0
214,Zoe,7.0
215,Kirsty,23.0
216,...,10071.0
217,wanted,599.0
218,Bianca,21.0
219,says,2783.0
220,question,66.0
221,whatsoever,7.0
222,become,32.0
223,dated,2.0
224,they'll,359.0
225,terribly,21.0
226,they're,5223.0
227,their,1168.0
228,twenties,6.0
229,of,14580.0
230,an,3131.0
231,old,890.0
232,woman,157.0
233,or,5149.0
234,calling,60.0
235,front,788.0
236,always,745.0
237,been,2382.0
238,about,5800.0
239,date,39.0
240,admit,17.0
241,liked,145.0
242,we'll,2848.0
243,him,8090.0
244,since,159.0
245,he,25096.0
246,there's,10668.0
247,hundred,103.0
248,has,4854.0
249,they've,659.0
250,more,7567.0
251,go,27479.0
252,get,17820.0
253,coffee,354.0
254,jelly,146.0
255,outfit,23.0
256,Ruth,999.0
257,where,11621.0
258,dungarees,101.0
259,French,22.0
260,our,1265.0
261,daddy's,731.0
262,relations,5.0
263,live,514.0
264,America,34.0
265,Karen,3.0
266,home,2163.0
267,months,165.0
268,ago,237.0
269,brought,480.0
270,wearing,207.0
271,because,9160.0
272,different,891.0
273,noticed,59.0
274,last,1560.0
275,had,3740.0
276,pair,106.0
277,Osh_Kosh,1.0
278,I'm,10767.0
279,annoyed,31.0
280,brown,785.0
281,eyes,1076.0
282,clean,759.0
283,eat,4475.0
284,cleans,4.0
285,then,17037.0
286,you're,10833.0
287,spoilt,32.0
288,rotten,22.0
289,bet,391.0
290,Daddy's,784.0
291,Mummy's,1796.0
292,breathing,21.0
293,work,1682.0
294,days,343.0
295,tell,3212.0
296,truth,26.0
297,possessive,6.0
298,hard,994.0
299,want,16140.0
300,only,2279.0
301,into,1902.0
302,kitchen,576.0
303,bag,1272.0
304,wait,1606.0
305,yes,23325.0
306,push,1188.0
307,turn,1951.0
308,make,6416.0
309,whee,872.0
310,tiger,2318.0
311,dog,2014.0
312,woof,240.0
313,again,6399.0
314,you've,6250.0
315,caught,204.0
316,onto,337.0
317,quickly,346.0
318,haven't,3811.0
319,doggie,441.0
320,monkey,1650.0
321,cows,593.0
322,moo,403.0
323,would,3749.0
