,Synsets,domain,nrhypos,nrdirhypers,nrpartrels,depthfromtopsynset,glosslength,minwordlength,nroflemmas,polyscore_max,ngrams_last_mean,partrels_normalised,depthfromtopsynset_normalised_x,glosslength_normalised_x,All_CHILDES_mean_x,All_CHILDES_mean_log_x,CHILDES_sum_x,CHILDES_Sum_log_x,CHILDES_max_x,CHILDES_max_log_x,CHILDES_Rel_Mean,CHILDES_Rel_Sum,CHILDES_Rel_max,CHILDES_Rel_Mean_log,CHILDES_Rel_Sum_log,CHILDES_Rel_max_log,"CHILDES_per100,000",KBNC_mean_x,KBNC_mean_log_x,KBNC_Sum_x,KBNC_Sum_log_x,KBNC_max_x,KBNC_max_log_x,KBNC_Rel_Mean,KBNC_Rel_Sum,KBNC_Rel_max,KBNC_Rel_Mean_log,KBNC_Rel_Sum_log,KBNC_Rel_max_log,"KBNC_per100,000",CABNC_mean_x,CABNC_mean_log_x,CABNC_sum_x,CABNC_Sum_log_x,CABNC_max_x,CABNC_max_log_x,CABNC_Rel_Mean,CABNC_Rel_Sum,CABNC_Rel_max,CABNC_Rel_Mean_log,CABNC_Rel_Sum_log,CABNC_Rel_max_log,"CABNC_per100,000",BNC_mean_x,BNC_mean_log_x,BNC_sum_x,BNC_Sum_log_x,BNC_max_x,BNC_max_log_x,BNC_Rel_Mean,BNC_Rel_Sum,BNC_Rel_max,BNC_Rel_Mean_log,BNC_Rel_Sum_log,BNC_Rel_max_log,"BNC_per100,000",KBNC_appear
0,Synset('adjustable_wrench.n.01'),tool,7,1,0,10,36,17,2,1,-18.85440188,0.0,1.0129032258064516,0.5631725787166202,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,8.930320017124781e-19,8.930320017124781e-19,8.930320017124781e-19,-41.55966453645637,-41.55966453645637,-41.55966453645637,8.930320017124783e-14,0
1,Synset('allen_wrench.n.01'),tool,0,1,0,10,25,12,1,1,-18.3891264,0.0,1.0129032258064516,0.3910920685532084,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,8.930320017124781e-19,8.930320017124781e-19,8.930320017124781e-19,-41.55966453645637,-41.55966453645637,-41.55966453645637,8.930320017124783e-14,0
2,Synset('alligator_wrench.n.01'),tool,0,1,0,10,97,16,1,1,-22.35469017,0.0,1.0129032258064516,1.5174372259864488,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,8.930320017124781e-19,8.930320017124781e-19,8.930320017124781e-19,-41.55966453645637,-41.55966453645637,-41.55966453645637,8.930320017124783e-14,0
3,Synset('awl.n.01'),tool,2,1,2,9,63,3,1,1,-14.80999674,15.7,0.9116129032258066,0.9855520127540852,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,42.0,3.737669618283368,42.0,3.737669618283368,42.0,3.737669618283368,3.7507344071924084e-07,3.7507344071924084e-07,3.7507344071924084e-07,-14.796143988232547,-14.796143988232547,-14.796143988232547,0.037507344071924,0
4,Synset('backsaw.n.01'),tool,0,1,0,11,71,7,2,1,-18.3274757,0.0,1.1141935483870968,1.110701474691112,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,8.930320017124781e-19,8.930320017124781e-19,8.930320017124781e-19,-41.55966453645637,-41.55966453645637,-41.55966453645637,8.930320017124783e-14,0
5,Synset('ball-peen_hammer.n.01'),tool,0,1,0,10,63,16,1,1,-18.48889427,0.0,1.0129032258064516,0.9855520127540852,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,8.930320017124781e-19,8.930320017124781e-19,8.930320017124781e-19,-41.55966453645637,-41.55966453645637,-41.55966453645637,8.930320017124783e-14,0
6,Synset('beading_plane.n.01'),tool,0,1,0,10,62,13,1,1,-23.74098453,0.0,1.0129032258064516,0.969908330011957,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,8.930320017124781e-19,8.930320017124781e-19,8.930320017124781e-19,-41.55966453645637,-41.55966453645637,-41.55966453645637,8.930320017124783e-14,0
7,Synset('bevel.n.02'),tool,0,1,0,9,106,5,2,3,-14.97634131,0.0,0.9116129032258066,1.658230370665604,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1.0,0.0,1.0,0.0,1.0,0.0,4.146191391511585e-07,4.146191391511585e-07,4.146191391511585e-07,-14.69590547507929,-14.69590547507929,-14.69590547507929,0.0414619139151158,33.0,3.49650756146648,33.0,3.49650756146648,33.0,3.49650756146648,2.947005605651178e-07,2.947005605651178e-07,2.947005605651178e-07,-15.037306045049435,-15.037306045049435,-15.037306045049435,0.0294700560565117,0
8,Synset('bill.n.08'),tool,0,1,0,10,38,4,2,13,-10.98524804,0.0,1.0129032258064516,0.5944599442008769,57.0,4.04305126783455,57.0,4.04305126783455,57.0,4.04305126783455,1.0006685167915689e-05,1.0006685167915689e-05,1.0006685167915689e-05,-11.51225717153647,-11.51225717153647,-11.51225717153647,1.0006685167915688,13.0,2.5649493574615367,13.0,2.5649493574615367,13.0,2.5649493574615367,1.186232043412443e-05,1.186232043412443e-05,1.186232043412443e-05,-11.342143531413656,-11.342143531413656,-11.342143531413656,1.186232043412443,89.0,4.48863636973214,89.0,4.48863636973214,89.0,4.48863636973214,3.690110338445311e-05,3.690110338445311e-05,3.690110338445311e-05,-10.20726910534715,-10.20726910534715,-10.20726910534715,3.690110338445311,2616.0,7.86940171257709,5232.0,8.562548893137034,5226.0,8.561401446080557,2.336171716479843e-05,4.672343432959686e-05,4.666985240949411e-05,-10.664411893938828,-9.971264713378885,-9.97241216043536,4.672343432959686,1
9,Synset('block_plane.n.01'),tool,0,1,0,10,40,11,1,1,-18.27715276,0.0,1.0129032258064516,0.6257473096851335,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,8.930320017124781e-19,8.930320017124781e-19,8.930320017124781e-19,-41.55966453645637,-41.55966453645637,-41.55966453645637,8.930320017124783e-14,0
