Synonyms,Glossary,Synset in hierarchy,,,,,,,,,,Label,PossibleNone,Familiar,UnfamiliarANDunsure,Notes
toga_virilis,(ancient Rome) a toga worn by a youth as a symbol of manhood and citizenship,,,,,"[Synset('toga_virilis.n.01')]],",,,,,,l,,,,
abaya,(Arabic) a loose black robe from head to toe; traditionally worn by Muslim women,,,"[Synset('abaya.n.01')],",,,,,,,,l,,,,
prayer_shawl tallith tallis,(Judaism) a shawl with a ritually knotted fringe at each corner; worn by Jews at morning prayer,,,,,"[Synset('prayer_shawl.n.01')],",,,,,,l,,,,
kanzu,(Swahili) a long garment (usually white) with long sleeves; worn by men in East Africa,,"[Synset('kanzu.n.01')],",,,,,,,,,l,,,,
trouser pant,"(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately",,"[Synset('trouser.n.01'),",,,,,,,,,b,,,,
chap,(usually in the plural) leather leggings without a seat; joined by a belt; often have flared outer flaps; worn over trousers by cowboys to protect their legs,,,"[Synset('chap.n.04')],",,,,,,,,l,,,,
slacks,(usually in the plural) pants for casual wear,,,"[Synset('slacks.n.01')],",,,,,,,,l,,,,
flannel gabardine tweed white,(usually in the plural) trousers made of flannel or gabardine or tweed or white cloth,,,"[Synset('flannel.n.03')],",,,,,,,,b,,,,
jean blue_jean denim,(usually plural) close-fitting trousers of heavy denim for manual work or casual wear,,,"[Synset('jean.n.01'),",,,,,,,,b,,,,
caftan kaftan,a (cotton or silk) cloak with full sleeves and sash reaching down to the ankles; worn by men in the Levant,,,,"[Synset('caftan.n.02')],",,,,,,,l,,,,
black_tie,a black bow tie worn with a dinner jacket,,,,,"[Synset('black_tie.n.02')],",,,,,,l,,,,
weeds widow's_weeds,a black garment (dress) worn by a widow as a sign of mourning,,"[Synset('weeds.n.01')],",,,,,,,,,l,,,,
poncho,a blanket-like cloak with a hole in the center for the head,,,,"[Synset('poncho.n.01')],",,,,,,,b,,,,
uplift,a brassiere that lifts and supports the breasts,,,,"[Synset('uplift.n.02')]],",,,,,,,l,,,,
three-piece_suit,a business suit consisting of a jacket and vest and trousers,,,,"[Synset('three-piece_suit.n.01')],",,,,,,,l,,,,
two-piece two-piece_suit lounge_suit,a business suit consisting of a matching jacket and skirt or trousers,,,,"[Synset('two-piece.n.01')]],",,,,,,,l,,,,
sunsuit,a child's garment consisting of a brief top and shorts,,"[Synset('sunsuit.n.01')],",,,,,,,,,l,,,,
snowsuit,a child's overgarment for cold weather,,,"[Synset('snowsuit.n.01')]],",,,,,,,,l,,,,
wet_suit,a close-fitting garment made of a permeable material; worn in cold water (as by skin divers) to retain body heat,,"[Synset('wet_suit.n.01')],",,,,,,,,,b,,,,
jersey T-shirt tee_shirt,a close-fitting pullover shirt,,,"[Synset('jersey.n.03'),",,,,,,,,l,,,,
spat gaiter,a cloth covering (a legging) that covers the instep and ankles,,,"[Synset('spat.n.02')]],",,,,,,,,l,,,,
chador chadar chaddar chuddar,a cloth used as a head covering (and veil and shawl) by Muslim and Hindu women,,,"[Synset('chador.n.01')],",,,,,,,,l,,,,
fur_coat,a coat made of fur,,,,"[Synset('fur_coat.n.01'),",,,,,,,l,,,,
sheepskin_coat afghan,a coat made of sheepskin,,,,"[Synset('sheepskin_coat.n.01')],",,,,,,,l,,,,
singlet vest undershirt,a collarless men's undergarment for the upper part of the body,,,"[Synset('singlet.n.01')],",,,,,,,,b,,,,
bolo_tie bolo bola_tie bola,a cord fastened around the neck with an ornamental clasp and worn as a necktie,,,,"[Synset('bolo_tie.n.01')],",,,,,,,l,,,,
ascot,a cravat with wide square ends; secured with an ornamental pin,,,,"[Synset('ascot.n.01')],",,,,,,,l,,,,
sweater jumper,a crocheted or knitted garment covering the upper part of the body,,"[Synset('sweater.n.01'),",,,,,,,,,b,,,,
