SynsetID,Synsets,SynsMills,Names,NameNoPunctuation,Synonyms_x,Glossary,A1_Label,PossibleNone_x,A2_Label,PossibleNone_y,A3_Label,PossibleNone
46194,Synset('baby_bed.n.01'),baby_bed.n.01,baby_bed,baby bed,baby_bed baby's_bed,a small bed for babies; enclosed by sides to prevent the baby from falling,l,,l,,l,
46195,Synset('bedroom_furniture.n.01'),bedroom_furniture.n.01,bedroom_furniture,bedroom furniture,bedroom_furniture,furniture intended for use in a bedroom,h,,h,,h,
46196,Synset('bedstead.n.01'),bedstead.n.01,bedstead,bedstead,bedstead bedframe,the framework of a bed,l,,l,x,l,
46197,Synset('bookcase.n.01'),bookcase.n.01,bookcase,bookcase,bookcase,a piece of furniture with shelves for storing books,b,,b,,b,
46198,Synset('buffet.n.01'),buffet.n.01,buffet,buffet,buffet counter sideboard,a piece of furniture that stands at the side of a dining room; has shelves and drawers,l,,b,,l,
46199,Synset('cabinet.n.01'),cabinet.n.01,cabinet,cabinet,cabinet,a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display,b,,b,,b,
46200,Synset('chest_of_drawers.n.01'),chest_of_drawers.n.01,chest_of_drawers,chest of drawers,chest_of_drawers chest bureau dresser,furniture with drawers for keeping clothes,b,,b,,b,
46201,Synset('dining-room_furniture.n.01'),dining-room_furniture.n.01,dining-room_furniture,dining room furniture,dining-room_furniture,furniture intended for use in a dining room,h,,h,,h,
46202,Synset('etagere.n.01'),etagere.n.01,etagere,etagere,etagere,a piece of furniture with open shelves for displaying small ornaments,l,,l,,l,
46203,Synset('fitment.n.01'),fitment.n.01,fitment,fitment,fitment,any of the items furnishing or equipping a room (especially built-in furniture),h,x,h,x,l,x
46204,Synset('hallstand.n.01'),hallstand.n.01,hallstand,hallstand,hallstand,a piece of furniture where coats and hats and umbrellas can be hung; usually has a mirror,l,,l,,l,
46205,Synset('lamp.n.02'),lamp.n.02,lamp,lamp,lamp,a piece of furniture holding one or more electric light bulbs,b,,b,,b,
46206,Synset('lawn_furniture.n.01'),lawn_furniture.n.01,lawn_furniture,lawn furniture,lawn_furniture,furniture intended for use on a lawn or in a garden,h,,h,,h,x
46207,Synset('nest.n.05'),nest.n.05,nest,nest,nest,furniture pieces made to fit close together,h,x,h,x,h,x
46208,Synset('office_furniture.n.01'),office_furniture.n.01,office_furniture,office furniture,office_furniture,furniture intended for use in an office,h,,h,,h,
46209,Synset('seat.n.03'),seat.n.03,seat,seat,seat,furniture that is designed for sitting on,b,,h,,b,
46210,Synset('sectional.n.01'),sectional.n.01,sectional,sectional,sectional,a piece of furniture made up of sections that can be arranged individually or together,l,x,h,x,l,
46211,Synset('sheraton.n.01'),sheraton.n.01,sheraton,sheraton,Sheraton,a furniture style that originated in England around 1800; simple in design with straight lines and classical ornamentation,l,x,h,x,l,
46212,Synset('sleeper.n.07'),sleeper.n.07,sleeper,sleeper,sleeper,a piece of furniture that can be opened up into a bed,l,x,h,,l,
46213,Synset('table.n.02'),table.n.02,table,table,table,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs,b,,b,,b,
46214,Synset('table.n.03'),table.n.03,table,table,table,a piece of furniture with tableware for a meal laid out on it,l,,l,,l,
46215,Synset('wall_unit.n.01'),wall_unit.n.01,wall_unit,wall unit,wall_unit,a piece of furniture having several units that stands against one wall of a room,l,,h,,h,
46216,Synset('wardrobe.n.01'),wardrobe.n.01,wardrobe,wardrobe,wardrobe closet press,a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes,b,,b,,b,
