,Synonyms,Glossary,Synset in hierarchy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,A1_Label,Label,A3_Label,A1_Familiar,Familiar,A3_Familiar,A1_Unfamiliar,UnfamiliarANDunsure,A3_Unfamiliar,A1_Notes,Notes,A3_Notes
0,edible_fruit,edible reproductive body of a seed plant especially one having sweet flesh,"[Synset('edible_fruit.n.01'),",,,,,h,h,h,yes,,,,,,,,
1,ackee akee,red pear-shaped tropical fruit with poisonous seeds; flesh is poisonous when unripe or overripe,,"[Synset('ackee.n.01')],",,,,b,b,b,no,n,no,x,,haven't heard before,unknown to me,,Googled and mostly alike
2,anchovy_pear river_pear,West Indian fruit resembling the mango; often pickled,,"[Synset('anchovy_pear.n.02')],",,,,b,b,b,no,n,,x,,,unknown to me,,Googled and mostly alike
3,apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,,"[Synset('apple.n.01'),",,,,b,b,b,yes,,,,,,,,
4,cooking_apple,an apple used primarily in cooking for pies and applesauce etc,,,"[Synset('cooking_apple.n.01'),",,,l,l,l,yes,,,,,,,,
5,Bramley's_Seedling,very large cooking apple,,,,"[Synset('bramley's_seedling.n.01')],",,l,l,l,yes,n,,,,,,,
6,Lane's_Prince_Albert,apple used primarily in cooking,,,,"[Synset('lane's_prince_albert.n.01')],",,l,l,l,yes,n,,,,,,,
7,Newtown_Wonder,apple used primarily in cooking,,,,"[Synset('newtown_wonder.n.01')],",,l,l,l,yes,n,,,,,,,
8,Rome_Beauty,large red apple used primarily for baking,,,,"[Synset('rome_beauty.n.01')]],",,l,l,l,yes,n,,,,,,,
9,crab_apple crabapple,small sour apple; suitable for preserving,,,"[Synset('crab_apple.n.03')],",,,l,l,l,yes,n,,,,,,,
10,eating_apple dessert_apple,an apple used primarily for eating raw without cooking,,,"[Synset('eating_apple.n.01'),",,,l,l,l,yes,n,,,,,,,
11,Baldwin,an American eating apple with red or yellow and red skin,,,,"[Synset('baldwin.n.03')],",,l,l,l,yes,n,,,,,,,
12,Cortland,large apple with a red skin,,,,"[Synset('cortland.n.01')],",,l,l,l,yes,n,,,,,,,
