,Synonyms,Glossary,Synset in hierarchy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,A1_Label,Label,A3_Label,A1_Familiar,Familiar,A3_Familiar,A1_Unfamiliar,UnfamiliarANDunsure,A3_Unfamiliar,A1_Notes,Notes,A3_Notes
0,hand_tool,a tool used with workers' hands,"[Synset('hand_tool.n.01'),",,,,,,h,h,h,yes,y,,,,,,,
1,awl,a pointed tool for marking surfaces or for punching small holes,,"[Synset('awl.n.01'),",,,,,b,b,b,yes,y,,,,,ik ken het woord niet,,Googled and all images looked alike 
2,bradawl pricker,an awl for making small holes for brads or small screws,,,"[Synset('bradawl.n.01')],",,,,l,l,l,no,n,,,,,,,
3,scriber scribe scratch_awl,a sharp-pointed awl for marking wood or metal to be cut,,,"[Synset('scriber.n.01')]],",,,,l,l,l,no,n,,,,,,,
4,bevel bevel_square,a hand tool consisting of two rules that are hinged together so you can draw or measure angles of any size,,"[Synset('bevel.n.02')],",,,,,b,b,b,yes,n,,,,,"zwaaihaak, het engelse woord kende ik niet",,Googled bevel square and images looked alike
5,bodkin,a small sharp-pointed tool for punching holes in leather or fabric,,"[Synset('bodkin.n.03')],",,,,,l,l,b,no,n,,x,,,basic level would be needle?,type of awl?,
6,bodkin threader,a blunt needle for threading ribbon through loops,,"[Synset('bodkin.n.04')],",,,,,l,l,l,no,n,,x,,,basic level would be needle?,type of needle,
7,crank starter,a hand tool consisting of a rotating shaft with parallel handle,,"[Synset('crank.n.04'),",,,,,b,b,h,yes,y,,,,,vooral door de karakteristieke draaiende beweging om iets omhoog te krijgen.,,
8,crank_handle starting_handle,crank used to start an engine,,,"[Synset('crank_handle.n.01')]],",,,,l,l,b,yes,n,,,,,,,
9,dibble dibber,a wooden hand tool with a pointed end; used to make holes in the ground for planting seeds or bulbs,,"[Synset('dibble.n.01')],",,,,,b,b,l,no,n,,x,,,deze tool ken ik niet,,Seems lower than awl as it is for soil but the movement would be the same so I am getting unsure
10,file,a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal,,"[Synset('file.n.04'),",,,,,b,b,b,yes,y,,,,,,,
11,blunt_file,a file with parallel edges,,,"[Synset('blunt_file.n.01')],",,,,l,l,l,yes,y,,,,,,,
12,flat_file,a file with two flat surfaces,,,"[Synset('flat_file.n.01')],",,,,l,l,l,yes,y,,,,,,,
13,nailfile,a small flat file for shaping the nails,,,"[Synset('nailfile.n.01')],",,,,l,l,l,yes,y,,,,,,,"I wanted to say basic but just because I use this tool, however since the movement is similar for files I chose file to be basic level"
14,rasp wood_file,a coarse file with sharp pointed projections,,,"[Synset('rasp.n.02')],",,,,l,l,l,yes,y,,,,,,,
15,rat-tail_file,a thin round file shaped like the tail of a rat,,,"[Synset('rat-tail_file.n.01')],",,,,l,l,l,yes,y,,,,,,,
16,round_file,a file with a circular cross section; used to file the inside of holes,,,"[Synset('round_file.n.01')],",,,,l,l,l,yes,y,,,,,,,
17,taper_file,a file with converging edges,,,"[Synset('taper_file.n.01')]],",,,,l,l,l,yes,y,,,,,,,
18,float plasterer's_float,a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco,,"[Synset('float.n.05')],",,,,,b,b,b,yes,y,,,,,,,Googled and all look alike
19,graver graving_tool pointel pointrel,a tool used by an engraver,,"[Synset('graver.n.01'),",,,,,l,b,b,yes,n,,,x,,basic level is chisel? A graver is a chisel used by an engraver?,,Googled and all look alike
20,scauper scorper,a graver used to scoop out broad areas when engraving wood or metal,,,"[Synset('scauper.n.01')]],",,,,l,l,l,yes,n,,,x,,,,
21,gutter,a tool for gutting fish,,"[Synset('gutter.n.04')],",,,,,l,b,b,no,n,,x,x,,,,
22,hammer,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,,"[Synset('hammer.n.02'),",,,,,b,b,b,yes,y,,,,,,,
23,ball-peen_hammer,a hammer with one round and one flat end; used in working metal,,,"[Synset('ball-peen_hammer.n.01')],",,,,l,l,l,yes,y,,,,,,,
24,bricklayer's_hammer,a hammer used in laying bricks,,,"[Synset('bricklayer's_hammer.n.01')],",,,,l,l,l,yes,y,,,,,,,
25,carpenter's_hammer claw_hammer clawhammer,a hammer with a cleft at one end for pulling nails,,,"[Synset('carpenter's_hammer.n.01')],",,,,l,l,l,yes,y,,,,,,,
26,mallet beetle,a tool resembling a hammer but with a large head (usually wooden); used to drive wedges or ram down paving stones or for crushing or beating or flattening or smoothing,,,"[Synset('mallet.n.03'),",,,,l,l,b,yes,y,,,,,,,Hesitated with this one between b and l because of gavel context coming up later decided b
27,carpenter's_mallet,a short-handled mallet with a wooden head used to strike a chisel or wedge,,,,"[Synset('carpenter's_mallet.n.01')],",,,l,l,l,yes,y,,,,,,,
28,gavel,a small mallet used by a presiding officer or a judge,,,,"[Synset('gavel.n.01')]],",,,l,l,l,yes,y,,,,,,,
29,maul sledge sledgehammer,a heavy long-handled hammer used to drive stakes or wedges,,,"[Synset('maul.n.01')],",,,,l,l,l,yes,y,,,,,,,
30,plexor plessor percussor,(medicine) a small hammer with a rubber head used in percussive examinations of the chest and in testing reflexes,,,"[Synset('plexor.n.01')],",,,,l,l,l,yes,y,,,,,,,
31,tack_hammer,a light hammer that is used to drive tacks,,,"[Synset('tack_hammer.n.01')]],",,,,l,l,l,yes,y,,,,,,,
32,hand_shovel,a shovel that is operated by hand,,"[Synset('hand_shovel.n.01'),",,,,,X,l,X,yes,y ,,,,,,basic level is shovel,
33,coal_shovel,a hand shovel for shoveling coal,,,"[Synset('coal_shovel.n.01')],",,,,X,l,X,yes,y,,,,,,,
34,entrenching_tool trenching_spade,a hand shovel carried by infantrymen for digging trenches,,,"[Synset('entrenching_tool.n.01')],",,,,X,l,X,yes,y,,,,,,,
35,spade,a sturdy hand shovel that can be pushed into the earth with the foot,,,"[Synset('spade.n.02'),",,,,X,l,X,yes,y,,,,,,,
36,ditch_spade long-handled_spade,a spade with a long handle for digging narrow ditches,,,,"[Synset('ditch_spade.n.01')],",,,X,l,X,yes,y,,,,,,,
37,garden_spade,a spade used by gardeners,,,,"[Synset('garden_spade.n.01')]],",,,X,l,X,yes,y,,,,,,,
38,spud stump_spud,a sharp hand shovel for digging out roots and weeds,,,"[Synset('spud.n.02')]],",,,,X,l,X,yes,y,,,,,,,
39,marlinespike marlinspike marlingspike,a pointed iron hand tool that is used to separate strands of a rope or cable (as in splicing),,"[Synset('marlinespike.n.01')],",,,,,l,b,b,no,n,,x,x,,basic level would be spike?,,
40,miter_box mitre_box,hand tool for guiding handsaws in making crosscuts or miter joints,,"[Synset('miter_box.n.01')],",,,,,b,b,b,yes,y,,,,,verstekbak,,
41,opener,a hand tool used for opening sealed containers (bottles or cans),,"[Synset('opener.n.03'),",,,,,h,b,h,yes,y,,,,,,,
42,bottle_opener,an opener for removing caps or corks from bottles,,,"[Synset('bottle_opener.n.01'),",,,,h,l,b,yes,y,,,,,,,
43,cap_opener,a bottle opener to pry off caps,,,,"[Synset('cap_opener.n.01')],",,,b,l,l,yes,y,,,,,,,
44,corkscrew bottle_screw,a bottle opener that pulls corks,,,,"[Synset('corkscrew.n.01')]],",,,b,b,l,yes,y,,,,,,,
45,can_opener tin_opener,a device for cutting cans open,,,"[Synset('can_opener.n.01'),",,,,b,b,b,yes,y,,,,,,,
46,church_key,can opener that has a triangular pointed end that pierces the tops of cans,,,,"[Synset('church_key.n.01')]],",,,l,l,l,yes,y,,,,,,,
47,latchstring,opener consisting of a string that can be passed through a hole in a door for raising the latch from outside,,,"[Synset('latchstring.n.01')]],",,,,l,b,b,yes,y,,,,,A general item (a string) used in a very specific context,do not agree this is under opener,
48,pallet,a hand tool with a flat blade used by potters for mixing and shaping clay,,"[Synset('pallet.n.03')],",,,,,l,b,b,no,n,,x,x,,,,Googling this one brought up something else so could be h but glossary entails b to me
49,pestle,a club-shaped hand tool for grinding and mixing substances in a mortar,,"[Synset('pestle.n.03')],",,,,,b,b,b,yes,y,,,,,,,
50,pick,a thin sharp implement used for removing unwanted material,,"[Synset('pick.n.06'),",,,,,h,h,h,yes,y,,,,,,,
51,icepick ice_pick,pick consisting of a steel rod with a sharp point; used for breaking up blocks of ice,,,"[Synset('icepick.n.01')],",,,,b,b,b,yes,y,,,,,,,
52,toothpick,pick consisting of a small strip of wood or plastic; used to pick food from between the teeth,,,"[Synset('toothpick.n.01')]],",,,,b,b,b,yes,y,,,,,,,
53,pincer pair_of_pincers tweezer pair_of_tweezers,a hand tool for holding consisting of a compound lever for grasping,,"[Synset('pincer.n.01'),",,,,,b,b,b,yes,y,,,,,eigenlijk is de supercategorie van pincers en pliers het basic level. ,,
54,roach_clip roach_holder,metal tweezers used by marijuana smokers to hold a roach,,,"[Synset('roach_clip.n.01')]],",,,,l,l,l,yes,n,,,,,,basic level is clip,
55,pipe_cutter,a hand tool for cutting pipe,,"[Synset('pipe_cutter.n.01')],",,,,,l,b,b,yes,y,,,,,,,
56,pitchfork,a long-handled hand tool with sharp widely spaced prongs for lifting and pitching hay,,"[Synset('pitchfork.n.01')],",,,,,b,b,b,yes,y,,,,,very recognisible form (I can imaging this is higlhy culture dependent),,
57,plane carpenter's_plane woodworking_plane,a carpenter's hand tool with an adjustable blade for smoothing or shaping wood,,"[Synset('plane.n.05'),",,,,,b,b,b,yes,y,,,,,,,
58,beading_plane,a plane with a concave blade for making moulding with beadwork,,,"[Synset('beading_plane.n.01')],",,,,l,l,l,no,y,,,,,,,
59,block_plane,a small plane used on end grains of wood,,,"[Synset('block_plane.n.01')],",,,,l,l,l,yes,y,,,,,,,
60,bullnose bullnosed_plane,a small carpenter's plane with the cutting edge near the front,,,"[Synset('bullnose.n.01')],",,,,l,l,l,no,n,,,,,,,
61,chamfer_plane,a plane that makes a beveled edge,,,"[Synset('chamfer_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
62,circular_plane compass_plane,a plane with a flexible face that can plane concave or convex surfaces,,,"[Synset('circular_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
63,combination_plane,a woodworking plane that has interchangeable cutters of various shapes,,,"[Synset('combination_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
64,dovetail_plane,a woodworking plane designed to make the grooves for dovetail joints,,,"[Synset('dovetail_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
65,fore_plane,a carpenter's plane intermediate between a jack plane and a jointer plane,,,"[Synset('fore_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
66,jack_plane,a carpenter's plane for rough finishing,,,"[Synset('jack_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
67,jointer jointer_plane jointing_plane long_plane,a long carpenter's plane used to shape the edges of boards so they will fit together,,,"[Synset('jointer.n.01')],",,,,l,l,l,no,n,,,,,,,
68,match_plane tonguing_and_grooving_plane,a plane having cutters designed to make the tongues and grooves on the edges of matchboards,,,"[Synset('match_plane.n.01')],",,,,l,l,l,no,n,,,,,,,
