,Synonyms,Glossary,Synset in Hierarchy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Label,A2_Label,A3_Label,Familiar,A2_Familiar,A3_Familiar,UnfamiliarANDunsure,A2_Unfamiliar,A3_Unfamiliar,Notes,A2_Notes,A3_Notes
0,musical_instrument instrument ,any of various devices or contrivances that can be used to produce musical tones or sounds,[Synset('musical_instrument.n.01'),,,,,,,,h,h,h,,y,,,,,,,
1,barrel_organ grind_organ hand_organ hurdy_gurdy hurdy-gurdy street_organ ,a musical instrument that makes music by rotation of a cylinder studded with pegs,,[Synset('barrel_organ.n.01')],,,,,,,b,b,h,,y,,,,,"draaiorgel, maar ook een kleiner doosje.",,Type of organ
2,bass ,the member with the lowest range of a family of musical instruments,,[Synset('bass.n.07'),,,,,,,h,h,h,,y,,,,,,,
3,bass_fiddle bass_viol bull_fiddle double_bass contrabass string_bass ,largest and lowest member of the violin family,,,[Synset('bass_fiddle.n.01')],,,,,,l,b,b,,y,,,,,,"contrabas = b, bass viool = l ...",
4,bass_guitar ,the guitar with six strings that has the lowest pitch,,,[Synset('bass_guitar.n.01')],,,,,,l,l,b,,y,,,,,,,
5,bass_horn sousaphone tuba ,the lowest brass wind instrument,,,[Synset('bass_horn.n.01'),,,,,,b,b,b,,y,,,,,tuba,,
6,euphonium ,a bass horn (brass wind instrument) that is the tenor of the tuba family,,,,[Synset('euphonium.n.01')],,,,,l,l,l,no,n,,,x,,,,
7,helicon bombardon ,a tuba that coils over the shoulder of the musician,,,,[Synset('helicon.n.01')]],,,,,l,l,l,no,n,,,x,,,,
8,bombardon bombard ,a large shawm; the bass member of the shawm family,,,[Synset('bombardon.n.02')]],,,,,,l,b,l,no,n,,x,x,,,,Googled and looked like tube
9,calliope steam_organ ,a musical instrument consisting of a series of steam whistles played from a keyboard,,[Synset('calliope.n.02')],,,,,,,l,b,l,no,n,,,x,,,,Type or organ
10,electronic_instrument electronic_musical_instrument ,a musical instrument that generates sounds electronically,,[Synset('electronic_instrument.n.01'),,,,,,,h,h,h,,y,,,,,,,
11,electric_organ electronic_organ Hammond_organ organ ,(music) an electronic simulation of a pipe organ,,,[Synset('electric_organ.n.01')],,,,,,l,b,b,,y,,,,,,basic because it does not look like an organ,
12,synthesizer synthesiser ,(music) an electronic instrument (usually played with a keyboard) that generates and modifies sounds electronically and can imitate a variety of other musical instruments,,,[Synset('synthesizer.n.02')],,,,,,b,b,b,,y,,,,,,,
