,Synsets,domain_x,nrhypos_x,nrdirhypers_x,nrpartrels_x,depthfromtopsynset_x,glosslength_x,minwordlength_x,nroflemmas_x,polyscore_max_x,ngrams_last_mean,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,res_ngrams_2008_mean,ngrams_2008_mean_log_y,ngrams_sum08,ngrams_max08,All_CHILDES_mean,All_CHILDES_mean_log,CHILDES_sum,CHILDES_Sum_log,CHILDES_max,CHILDES_max_log,KBNC_mean,KBNC_mean_log,KBNC_Sum,KBNC_Sum_log,KBNC_max,KBNC_max_log,CABNC_mean,CABNC_mean_log,CABNC_sum,CABNC_Sum_log,CABNC_max,CABNC_max_log,BNC_mean,BNC_mean_log,BNC_sum,BNC_Sum_log,BNC_max,BNC_max_log,A1_Label,A2_Label,A3_Label,MV,vote_x,CHILDES_Rel_mean,KBNC_Rel_mean,CABNC_Rel_mean,BNC_Rel_mean,CHILDES_Rel_mean_log,KBNC_Rel_mean_log,CABNC_Rel_mean_log,BNC_Rel_mean_log,CHILDES_Sum_Rel,KBNC_Sum_Rel,CABNC_Sum_Rel,BNC_Sum_Rel,CHILDES_appear,KBNC_appear,CABNC_appear,BNC_appear,"CHILDES_per100,000","KBNC_per100,000","CABNC_per100,000","BNC_per100,000",CHILDES_perMillionWords,KBNC_perMillionWords,CABNC_perMillionWords,BNC_perMillionWords,binary
13,Synset('bottle_opener.n.01'),tool,2,1,0,10,49,13,1,1,-17.36595972,0.0,1.0129032258064516,0.7665404543642885,2.8711740540643405e-08,-17.36595971975926,2.8711740540643405e-08,2.8711740540643405e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,h,l,b,b,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
23,Synset('cap_opener.n.01'),tool,0,1,0,11,31,10,1,1,-20.96839581,0.0,1.1141935483870968,0.4849541650059785,7.826028158852694e-10,-20.96839580804311,7.826028158852694e-10,7.826028158852694e-10,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,b,l,l,l,nb,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,nb
58,Synset('graver.n.01'),tool,1,1,0,9,26,6,4,4,-15.06754349,0.0,0.9116129032258066,0.4067357512953368,2.8594794359919285e-07,-15.067456058080808,1.1437917743967714e-06,1.1353524769219805e-06,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.0,0.0,1.0,0.0,1.0,0.0,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,25.0,3.218875824868201,25.0,3.218875824868201,25.0,3.218875824868201,l,b,b,b,b,1.7555588013887174e-17,9.124861872403406e-07,4.146191391511586e-17,2.2325800042811962e-07,-38.58115936931148,-13.907092888875194,-37.72175640501975,-15.314937781647718,1.7555588013887174e-17,9.124861872403406e-07,4.146191391511586e-17,2.2325800042811962e-07,0,1,0,1,1.7555588013887177e-12,0.091248618724034,4.146191391511586e-12,0.0223258000428119,1.7555588013887175e-11,0.9124861872403408,4.1461913915115854e-11,0.2232580004281195,b
59,Synset('gutter.n.04'),tool,0,1,0,9,23,6,1,8,-13.32914302,0.0,0.9116129032258066,0.3598047030689518,1.6263976476693642e-06,-13.329143020975325,1.6263976476693642e-06,1.6263976476693642e-06,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.0,1.3862943611198906,4.0,1.3862943611198906,4.0,1.3862943611198906,4.0,1.3862943611198906,4.0,1.3862943611198906,4.0,1.3862943611198906,347.0,5.849324779946859,347.0,5.849324779946859,347.0,5.849324779946859,l,b,b,b,b,1.7555588013887174e-17,3.6499447489613626e-06,1.658476556604634e-06,3.098821045942299e-06,-38.58115936931148,-12.520798527755304,-13.3096111139594,-12.68448882656906,1.7555588013887174e-17,3.6499447489613626e-06,1.658476556604634e-06,3.098821045942299e-06,0,1,1,1,1.7555588013887177e-12,0.3649944748961362,0.1658476556604634,0.3098821045942299,1.7555588013887175e-11,3.649944748961363,1.6584765566046342,3.0988210459423,b
70,Synset('latchstring.n.01'),tool,0,1,0,10,108,11,1,1,-18.52801883,0.0,1.0129032258064516,1.6895177361498606,8.982219412700942e-09,-18.52801883453414,8.982219412700942e-09,8.982219412700942e-09,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.0,0.0,1.0,0.0,1.0,0.0,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.0,0.0,1.0,0.0,1.0,0.0,l,b,b,b,b,1.7555588013887174e-17,9.124861872403406e-07,4.146191391511586e-17,8.930320017124782e-09,-38.58115936931148,-13.907092888875194,-37.72175640501975,-18.53381360651592,1.7555588013887174e-17,9.124861872403406e-07,4.146191391511586e-17,8.930320017124782e-09,0,1,0,1,1.7555588013887177e-12,0.091248618724034,4.146191391511586e-12,0.0008930320017124,1.7555588013887175e-11,0.9124861872403408,4.1461913915115854e-11,0.0089303200171247,b
74,Synset('marlinespike.n.01'),tool,0,1,0,9,93,11,3,1,-18.45813745,0.0,0.9116129032258066,1.4548624950179354,9.632361204954996e-09,-18.45813744856864,2.8897083614864986e-08,1.5038802203548585e-08,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,b,b,b,b,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,b
82,Synset('opener.n.03'),tool,6,1,0,9,64,6,1,3,-13.87656503,0.0,0.9116129032258066,1.0011956954962136,9.407719971932238e-07,-13.876565025133187,9.407719971932238e-07,9.407719971932238e-07,25.0,3.218875824868201,25.0,3.218875824868201,25.0,3.218875824868201,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,5.0,1.6094379124341005,5.0,1.6094379124341005,5.0,1.6094379124341005,269.0,5.594711379601839,269.0,5.594711379601839,269.0,5.594711379601839,h,b,h,h,nb,4.388897003471793e-06,9.124861872403407e-17,2.0730956957557925e-06,2.4022560846065664e-06,-12.33643261450282,-36.93294381881565,-13.08646756264519,-12.93910222691408,4.388897003471793e-06,9.124861872403407e-17,2.0730956957557925e-06,2.4022560846065664e-06,1,0,1,1,0.4388897003471793,9.124861872403408e-12,0.2073095695755792,0.2402256084606566,4.388897003471793,9.124861872403407e-11,2.0730956957557924,2.402256084606566,nb
85,Synset('pallet.n.03'),tool,0,1,0,9,73,6,1,5,-13.95820944,0.0,0.9116129032258066,1.1419888401753686,8.670151032674767e-07,-13.958209440170569,8.670151032674767e-07,8.670151032674767e-07,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,2.0,0.6931471805599453,2.0,0.6931471805599453,2.0,0.6931471805599453,1.0,0.0,1.0,0.0,1.0,0.0,77.0,4.343805421853684,77.0,4.343805421853684,77.0,4.343805421853684,l,b,b,b,b,1.7555588013887174e-17,1.8249723744806813e-06,4.146191391511585e-07,6.876346413186082e-07,-38.58115936931148,-13.213945708315247,-14.69590547507929,-14.190008184662236,1.7555588013887174e-17,1.8249723744806813e-06,4.146191391511585e-07,6.876346413186082e-07,0,1,1,1,1.7555588013887177e-12,0.1824972374480681,0.0414619139151158,0.0687634641318608,1.7555588013887175e-11,1.8249723744806807,0.4146191391511585,0.6876346413186082,b
91,Synset('pipe_cutter.n.01'),tool,0,1,0,9,28,11,1,1,-19.31016769,0.0,0.9116129032258066,0.4380231167795934,4.108664963808906e-09,-19.31016768752963,4.108664963808906e-09,4.108664963808906e-09,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,l,b,b,b,b,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,-38.58115936931148,-36.93294381881565,-37.72175640501975,-41.55966453645637,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,8.930320017124781e-19,0,0,0,0,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,8.930320017124784e-14,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,8.930320017124784e-13,b
99,Synset('plumber's_snake.n.01'),tool,0,2,0,4,67,5,2,2,-15.44127136,0.0,0.4051612903225807,1.0481267437225987,1.9676192164475026e-07,-15.441271358626883,3.935238432895005e-07,3.925999578768824e-07,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,11.0,2.3978952727983707,11.0,2.3978952727983707,11.0,2.3978952727983707,l,b,b,b,b,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,9.82335201883726e-08,-38.58115936931148,-36.93294381881565,-37.72175640501975,-16.135918333717548,1.7555588013887174e-17,9.124861872403407e-17,4.146191391511586e-17,9.82335201883726e-08,0,0,0,1,1.7555588013887177e-12,9.124861872403408e-12,4.146191391511586e-12,0.0098233520188372,1.7555588013887175e-11,9.124861872403407e-11,4.1461913915115854e-11,0.0982335201883726,b
